"WEST ASHEVILLE PARK, ASHEVILLE, NC",-82.598897,35.5711078
"WT WEAVER BLVD, ASHEVILLE, NC",-82.560785,35.6141585
"WOODFIN ST AND SHERTON PVA, ASHEVILLE, NC",-82.5510831,35.5992109
"WALNUT ST AND SCULLEYS BAR, ASHEVILLE, NC",-82.5525389,35.596654
"WALTON ST, ASHEVILLE, NC",-82.5607537,35.5751844
"US 70, ASHEVILLE, NC",-82.5545518,35.5990948
"US 25A AND I40, ASHEVILLE, NC",-82.553946,35.5582803
"WALNUT ST AND N MARKET ST, ASHEVILLE, NC",-82.552125,35.596571
"WALNUT ST AND SKULLYS, ASHEVILLE, NC",-82.552526,35.59671
"W T WEAVER BLVD AND BROADWAY ST, ASHEVILLE, NC",-82.5663159,35.6113111
"VA MEDICAL OFFICE, ASHEVILLE, NC",-82.4848758,35.5885451
"WESTGATE PKWY AND MR TRANSMISSION, ASHEVILLE, NC",-82.5773915,35.5902277
"US 70  AND NEW HAW CREEK RD, ASHEVILLE, NC",-82.5342859,35.5965997
"WALTON ST AND ELKIN RD, ASHEVILLE, NC",-82.5612686,35.5741018
"US 25 WIER RD, ASHEVILLE, NC",-82.7575583,35.9138219
"US CELLULAR CENTER AND HAYWOOD ST, ASHEVILLE, NC",-82.555619,35.5971794
"WALGREENS AND MERRIMON AVE, ASHEVILLE, NC",-82.5525358,35.6268813
"VERDE VISTA, ASHEVILLE, NC",-82.5109248,35.5728609
"WALL ST, ASHEVILLE, NC",-82.5554113,35.5947338
"WB I240 EXIT 7, ASHEVILLE, NC",-82.5545518,35.5990948
"WESTGATE PRKY, ASHEVILLE, NC",-82.5746034,35.5917708
"US 70 AND  PLEASANT RIDGE DR, ASHEVILLE, NC",-82.4819878,35.5866084
"VA HOSPITAL, ASHEVILLE, NC",-82.4848758,35.5885451
"US HWY 25 AND LODGE ST, ASHEVILLE, NC",-82.5445372,35.5670521
"WRIGHTS COVE RD, ASHEVILLE, NC",-82.4053977,35.5444711
"VANCE MONUMENT AND BILTMORE AVE, ASHEVILLE, NC",-82.5514785,35.5950835
"WOOD LINE NEAR SQUARE D, ASHEVILLE, NC",-82.5514869,35.5950581
"WALNUT ST, ASHEVILLE, NC",-82.5533865,35.5963608
"WESTGATE, ASHEVILLE, NC",-82.5757876,35.5909447
"US 70 AND PARKWAY, ASHEVILLE, NC",-82.5545518,35.5990948
"US CELLULAR CENTER, ASHEVILLE, NC",-82.555619,35.5971794
"WESTRIDGE SHOPPING CENTER, ASHEVILLE, NC",-82.5751283,35.5921942
"WHITE DUCK TACO SHOP, ASHEVILLE, NC",-82.5723041,35.5940779
"VANDERBILT APTS AND CIVIC CENTER, ASHEVILLE, NC",-82.5554411,35.5968768
"WEST MAPLE ST AND NEW HAW CREEK RD, ASHEVILLE, NC",-82.5052419,35.610994
"WOODFIN ST AND YMCA PVA, ASHEVILLE, NC",-82.549837,35.599248
"US 25A AND 140 EB, ASHEVILLE, NC",-82.5430251,35.5674091
"US 70 AND PORTER COVE RD, ASHEVILLE, NC",-82.4631786,35.5840309
"WILD WING CAFE, ASHEVILLE, NC",-82.55166,35.589389
"VERDE VISTA CIR, ASHEVILLE, NC",-82.5112242,35.5727475
"WOODFIN ST AND SHERATON HOTEL, ASHEVILLE, NC",-82.5510831,35.5992109
"WASHINGTON COUNTY, ASHEVILLE, NC",-76.5950555,35.8120333
"WESTGATE PKWY, ASHEVILLE, NC",-82.5746034,35.5917708
"WOOD AVE AND CEADER ST, ASHEVILLE, NC",-82.5135861,35.5678608
"VANCE MONUMENT, ASHEVILLE, NC",-82.5514785,35.5950835
"WOODFIN PL, ASHEVILLE, NC",-82.545605,35.5997595
